Gene	Weight	Module	Annotation	Name
LOC_Os03g23960	0.955381543	green		
LOC_Os03g52870	0.989887829	red		
LOC_Os12g27940	0.933629252	brown		
LOC_Os01g59360	0.930015614	red		
LOC_Os04g29210	0.97749656	purple		
LOC_Os03g17760	0.922106078	blue		
LOC_Os11g25560	0.954229438	blue		
LOC_Os01g51260	0.969001479	brown		
LOC_Os07g05250	0.937729991	red		
LOC_Os02g04810	0.924979651	yellow		
LOC_Os03g56820	0.950073165	green		
LOC_Os09g36550	0.956828056	green		
LOC_Os01g62380	0.926447448	green		
LOC_Os10g27330	0.931699038	blue		
LOC_Os01g04160	0.911164347	blue		
LOC_Os05g34310	0.969227228	pink		
LOC_Os04g49220	0.93879653	brown		
LOC_Os11g03440	0.901347638	blue		
LOC_Os07g01660	0.905108222	blue		
LOC_Os06g34020	0.923739217	red		
LOC_Os09g15700	0.925196116	brown		
LOC_Os06g44900	0.979202743	red		
LOC_Os12g08920	0.903440223	green		
LOC_Os12g12470	0.941625251	blue		
LOC_Os01g42410	0.910724886	magenta		
LOC_Os05g25030	0.929386835	pink		
LOC_Os07g11380	0.965825637	purple		
LOC_Os05g50830	0.970739334	red		
LOC_Os05g50310	0.953123265	black		
LOC_Os02g37440	0.906853381	pink		
LOC_Os05g27820	0.934199065	green		
LOC_Os08g03470	0.945695258	pink		
LOC_Os05g02610	0.922129416	purple		
LOC_Os09g28000	0.910230775	magenta		
LOC_Os02g49970	0.933270525	red		
LOC_Os02g17230	0.936046064	brown		
LOC_Os03g04550	0.941834109	green		
LOC_Os08g36220	0.908388618	blue		
LOC_Os02g43670	0.918026651	blue		
LOC_Os08g45190	0.936474684	black		
LOC_Os03g48270	0.90688808	black		
LOC_Os06g40818	0.926990118	blue		
LOC_Os04g34699	0.986350999	red		
LOC_Os04g44340	0.974930104	turquoise		
LOC_Os04g34140	0.940441912	magenta		
LOC_Os10g15300	0.949925044	turquoise		
LOC_Os10g17680	0.980145807	red		
LOC_Os01g68570	0.923078303	green		
LOC_Os01g71040	0.935070331	red		
LOC_Os03g21090	0.942571001	green		
LOC_Os09g28640	0.960466931	black		
LOC_Os03g06180	0.94900291	pink		
LOC_Os07g11110	0.914594096	turquoise		
LOC_Os04g32210	0.966734349	red		
LOC_Os03g01590	0.91769544	green		
LOC_Os03g55350	0.943634374	green		
LOC_Os02g53200	0.93922721	green		
LOC_Os12g17950	0.93078455	brown		
LOC_Os02g09740	0.968429654	green		
LOC_Os02g50770	0.951612578	red		
LOC_Os04g26790	0.906053167	red		
LOC_Os12g29370	0.902584523	brown		
LOC_Os06g41030	0.957511368	brown		
LOC_Os01g14940	0.922298268	red		
LOC_Os04g42800	0.964308607	black		
LOC_Os08g06450	0.949948243	red		
LOC_Os09g02370	0.918766525	red		
LOC_Os07g43180	0.903833277	pink		
LOC_Os06g40990	0.976488496	red		
LOC_Os07g10139	0.904000925	red		
LOC_Os01g55720	0.90152486	green		
LOC_Os03g05510	0.966784405	red		
LOC_Os03g02290	0.928778349	green		
LOC_Os06g02230	0.948059766	brown		
LOC_Os06g07250	0.903055415	brown		
LOC_Os01g44330	0.923197478	brown		
LOC_Os12g41170	0.979293845	red		
LOC_Os03g02820	0.927973272	green		
LOC_Os02g47150	0.937995225	green		
LOC_Os04g55440	0.910987852	turquoise		
LOC_Os10g22590	0.932860771	green		
LOC_Os06g50400	0.952955603	red		
LOC_Os01g04640	0.966412474	blue		
LOC_Os03g21780	0.934007303	turquoise		
LOC_Os07g10440	0.934517023	blue		
LOC_Os12g38570	0.925770606	red		
LOC_Os07g49080	0.946666392	magenta		
LOC_Os03g47280	0.931347378	tan		
LOC_Os03g51150	0.979895042	blue		
LOC_Os09g32210	0.97594681	pink		
LOC_Os08g30080	0.934069356	blue		
LOC_Os01g14530	0.966892789	blue		
LOC_Os12g12860	0.914373223	red		
LOC_Os09g37790	0.965701353	red		
LOC_Os07g13450	0.936114096	red		
LOC_Os12g38400	0.96195979	green		
LOC_Os07g01106	0.938681004	blue		
LOC_Os07g32390	0.942266443	green		
LOC_Os01g66290	0.97425645	brown		
LOC_Os08g12160	0.964892462	red		
LOC_Os01g68890	0.94363016	blue		
LOC_Os03g17790	0.96535391	purple		
LOC_Os07g35700	0.944204282	turquoise		
LOC_Os01g74450	0.948984209	black		
LOC_Os08g36920	0.930250608	tan		
LOC_Os03g02240	0.952753247	blue		
LOC_Os01g10820	0.944525687	brown		
LOC_Os12g43670	0.918850973	green		
LOC_Os12g29500	0.965790585	blue		
LOC_Os02g34490	0.933533719	blue		
LOC_Os10g25260	0.926546343	tan		
LOC_Os04g31400	0.940328639	green		
LOC_Os06g03610	0.944098921	red		
LOC_Os12g41200	0.948098363	green		
LOC_Os08g28784	0.900935896	blue		
LOC_Os05g39500	0.941252087	yellow		
LOC_Os05g40790	0.969333447	pink		
LOC_Os05g46550	0.969472723	green		
LOC_Os02g15150	0.947379569	pink		
LOC_Os03g61670	0.960124913	brown		
LOC_Os12g36920	0.916848612	magenta		
LOC_Os02g50810	0.944926565	blue		
LOC_Os03g63930	0.916338478	blue		
LOC_Os10g30880	0.923995121	magenta		
LOC_Os03g19900	0.955478183	brown		
LOC_Os10g34150	0.901233509	turquoise		
LOC_Os11g29840	0.922044034	blue		
LOC_Os05g23910	0.984892018	pink		
LOC_Os04g52880	0.950257997	blue		
LOC_Os08g05290	0.925572439	green		
LOC_Os07g08060	0.909522165	red		
LOC_Os03g48490	0.918115179	green		
LOC_Os01g10470	0.913648453	red		
LOC_Os12g16210	0.905951664	green		
LOC_Os01g71474	0.909985048	blue		
LOC_Os03g06170	0.971790416	blue		
LOC_Os04g56400	0.935371673	black		
LOC_Os02g47130	0.934820846	brown		
LOC_Os09g28120	0.903546647	brown		
LOC_Os07g30210	0.984523604	red		
LOC_Os04g52920	0.96241986	green		
LOC_Os05g38230	0.95994026	blue		
